ref_key,tier,strand,year,title,match_score,corpus_layer,corpus_title,corpus_discipline,corpus_themes,status,near_miss
alexander2026,core,legal_personhood,2026,How Should the Law Treat Future AI Systems? Fictional Legal Personhood versus Legal Identity,1.0,core,How Should the Law Treat Future AI Systems? Fictional Legal Personhood versus Legal Identity,law,rights_law,IN_CORPUS,
arbel2026,core,legal_personhood,2026,How to Count AIs: Individuation and Liability for AI Agents,1.0,core,How to Count AIs: Individuation and Liability for AI Agents,law,rights_law,IN_CORPUS,
bariach2026,core,consciousness_attribution,2026,Seemingly Conscious AI Risks,1.0,core,Seemingly Conscious AI Risks,computer_science_ai,detection_measurement;public_perception;safety_alignment,IN_CORPUS,
bengio2026,core,ai_safety,2026,International AI Safety Report 2026,0.571,,,,,NEW,
birch2024,core,moral_status,2024,"The Edge of Sentience: Risk and Precaution in Humans, Other Animals, and AI",1.0,core,"The Edge of Sentience: Risk and Precaution in Humans, other Animals, and AI",philosophy,welfare;moral_status,IN_CORPUS,
birch2025,core,consciousness,2025,AI Consciousness: A Centrist Manifesto,1.0,core,AI Consciousness: A Centrist Manifesto,philosophy,consciousness_theory;public_perception,IN_CORPUS,
blair2015,core,juridical_personhood,2015,The Derivative Nature of Corporate Constitutional Rights,0.538,,,,,NEW,
block2025,core,consciousness,2025,Can only meat machines be conscious?,1.0,core,Can only meat machines be conscious?,philosophy,consciousness_theory,IN_CORPUS,
bruner2022,core,juridical_personhood,2022,Artificially Intelligent Boards and the Future of Delaware Corporate Law,0.635,,,,,NEW,
butlin2023,core,consciousness,2023,Consciousness in Artificial Intelligence: Insights from the Science of Consciousness,0.701,,,,,FUZZY_CHECK,Artificial intelligence and the study of consciousness
carlsmith2022,core,ai_safety,2022,Is Power-Seeking AI an Existential Risk?,1.0,adjacent,Is Power-Seeking AI an Existential Risk?,,,IN_CORPUS,
caviola2025,core,public_attitudes,2025,The Societal Response to Potentially Sentient AI,1.0,core,The Societal Response to Potentially Sentient AI,psychology,public_perception;moral_status,IN_CORPUS,
caviola_forth,core,public_attitudes,2026,AI consciousness will divide society,1.0,core,AI Consciousness Will Divide Society,philosophy,public_perception;moral_status,IN_CORPUS,
chopra2011,core,legal_personhood,2011,A Legal Theory for Autonomous Artificial Agents,1.0,adjacent,A Legal Theory for Autonomous Artificial Agents,,,IN_CORPUS,
forrest2024,core,legal_personhood,2024,The Ethics and Challenges of Legal Personhood for AI,0.667,,,,,NEW,
goldstein2025,core,moral_status,2025,AI Wellbeing,1.0,core,AI wellbeing,philosophy,welfare;moral_status,IN_CORPUS,
goldstein2026,core,ai_rights,2026,AI Suffrage for Human Flourishing,1.0,core,AI Suffrage for Human Flourishing,philosophy,rights_law,IN_CORPUS,
gray1997,core,juridical_personhood,1997,The Nature and Sources of the Law,0.6,,,,,NEW,
hanson2016,core,digital_minds_futures,2016,"The Age of Em: Work, Love, and Life when Robots Are Smart",0.903,core,"The Age of Em: Work, Love, and Life when Robots Rule the Earth",social_sciences,identity_individuation;culture_media,IN_CORPUS,
ivanov2022,core,architectures,2022,Neuromorphic artificial intelligence systems,0.8,,,,,FUZZY_CHECK,Agency in Artificial Intelligence Systems
jaworska2021,core,moral_status,2021,The Grounds of Moral Status,1.0,adjacent,The Grounds of Moral Status,,,IN_CORPUS,
jin2026,core,architectures,2026,Whole-Brain Connectomic Graph Model Enables Whole-Body Locomotion Control in Fruit Fly,0.448,,,,,NEW,
jones2025,core,capabilities,2025,Large Language Models Pass the Turing Test,1.0,adjacent,Large Language Models Pass the Turing Test,,,IN_CORPUS,
lerchner2026,core,consciousness,2026,The Abstraction Fallacy: Why AI Can Simulate But Not Instantiate Consciousness,1.0,core,The Abstraction Fallacy: Why AI Can Simulate But Not Instantiate Consciousness,philosophy,consciousness_theory,IN_CORPUS,
liebman2026,core,exclusion_bills,2026,Legislating Nonpersonhood,1.0,core,Legislating Nonpersonhood,law,rights_law,IN_CORPUS,
long2024,core,moral_status,2024,Taking AI Welfare Seriously,1.0,core,Taking AI Welfare Seriously,philosophy,welfare;moral_status,IN_CORPUS,
novelli2025,core,legal_personhood,2025,"AI as legal persons: past, patterns, and prospects",1.0,adjacent,"AI as Legal Persons: Past, Patterns, and Prospects",,,IN_CORPUS,
okeefe2025,core,ai_rights,2025,Law-following AI: Designing AI agents to obey human laws,0.49,,,,,NEW,
ryan2021,core,rights_of_nature,2021,Environmental Rights for the 21st Century: A Comprehensive Analysis of the Public Trust Doctrine and Rights of Nature Movement,0.518,,,,,NEW,
salib2024a,core,ai_rights,2024,AI Rights for Human Safety,0.737,,,,,FUZZY_CHECK,AI Rights for Human Flourishing
salib2024b,core,ai_rights,2024,AI Rights for Economic Flourishing,0.831,,,,,FUZZY_CHECK,AI Rights for Human Flourishing
schwitzgebel2025,core,consciousness,2025,AI and Consciousness,0.889,core,AI and Self-consciousness,computer_science_ai,consciousness_theory,IN_CORPUS,
sebo2025,core,moral_status,2025,"The Moral Circle: Who Matters, What Matters, and Why",0.574,,,,,NEW,
seth2025,core,consciousness,2025,Conscious artificial intelligence and biological naturalism,1.0,core,Conscious artificial intelligence and biological naturalism,cognitive_science_neuroscience,consciousness_theory;moral_status,IN_CORPUS,
shiller2026,core,consciousness,2026,Initial results of the Digital Consciousness Model,1.0,core,Initial results of the Digital Consciousness Model,computer_science_ai,detection_measurement;consciousness_theory,IN_CORPUS,
sirbu2026,core,architectures,2026,"An Analysis of the Governance, Ethical, Legal and Social Implications of Biocomputing",0.643,,,,,NEW,
solum1992,core,legal_personhood,1992,Legal Personhood for Artificial Intelligences,0.925,adjacent,The Legal Personhood of Artificial Intelligences,,,IN_CORPUS,
vangulick2026,core,consciousness,2026,Consciousness,1.0,canon,Consciousness,philosophy,consciousness_theory,IN_CORPUS,
wang2026,core,architectures,2026,Advances in Brain-Computer Interfaces (BCI): Challenges and Opportunities,0.487,,,,,NEW,
wei2023,core,capabilities,2023,Jailbroken: How Does LLM Safety Training Fail?,0.434,,,,,NEW,
buck2024,marginal,definitions,2024,Regulating AI Is Confusing,0.585,,,,,NEW,
curhan2025,marginal,fetal_personhood,2025,State Policy Trends 2025: Midyear Analysis,0.487,,,,,NEW,
fordham2025,marginal,juridical_personhood,2025,Citizens United and the Decline of US Democracy: Assessing the Decision's Impact 15 Years Later,0.468,,,,,NEW,
