case,citation,court,year,relevance_in_paper
Ban v. Utah,No. 250900869,Utah Dist. Ct.,2025,NhRP challenge to HB 249; dismissed 8 May 2025
Bank Markazi v. Peterson,578 U.S. 212,U.S. Supreme Court,2016,Congress may amend law affecting pending litigation
Citizens United v. FEC,558 U.S. 310,U.S. Supreme Court,2010,First Amendment protection for corporate political spending
Cleveland Board of Education v. LaFleur,414 U.S. 632,U.S. Supreme Court,1974,Irrebuttable presumptions and due process
Coates v. Cincinnati,402 U.S. 611,U.S. Supreme Court,1971,Vagueness: criminalising 'annoying' behaviour
Connally v. General Construction Co.,269 U.S. 385,U.S. Supreme Court,1926,Vagueness: 'current rate of per diem wages'
Daubert v. Merrell Dow Pharmaceuticals,509 U.S. 579,U.S. Supreme Court,1993,Admissibility standard for scientific evidence
Epperson v. Arkansas,393 U.S. 97,U.S. Supreme Court,1968,Establishment Clause; teaching of evolution
FCC v. Beach Communications,508 U.S. 307,U.S. Supreme Court,1993,Rational basis test
Kennedy v. Bremerton School District,597 U.S. 507,U.S. Supreme Court,2022,Free Exercise; personal religious observance
Kitzmiller v. Dover Area School District,400 F. Supp. 2d 707,M.D. Pa.,2005,Establishment Clause; intelligent design
Marbury v. Madison,5 U.S. (1 Cranch) 137,U.S. Supreme Court,1803,Judicial review; right to claim protection of the laws
Papachristou v. City of Jacksonville,405 U.S. 156,U.S. Supreme Court,1972,Void for vagueness; vagrancy laws
United States v. Carolene Products Co.,304 U.S. 144,U.S. Supreme Court,1938,Presumption of facts supporting legislative judgment
United States v. Klein,80 U.S. (13 Wall.) 128,U.S. Supreme Court,1871,Congress may not prescribe a rule of decision
